Unnamed: 0,season,first_name,last_name,position,origin,originNIL,destination,destinationNIL,transfer_date,rating,stars,eligibility,Total Support_x,Ticket Sales_x,Contributions_x,Conf_x,School_x,Total Support_y,Ticket Sales_y,Contributions_y,Conf_y,School_y,Total Support,Ticket Sales,Contributions,Conf,School
43,2021,Jalen,Hamler,QB,Cal Poly,,San Jose State," $1,001,536.00 ",2021-06-28T00:00:00.000Z,,0,Immediate,,,,,,,,,,,"6,093,864","608,561","5,485,303",MW,San Jose State
44,2021,Greg,Emerson,DL,Tennessee,"$11,602,164",Memphis," $2,634,877.00 ",2021-06-26T08:55:00.000Z,0.81,3,Immediate,"70,593,563","35,110,289","35,483,274",SEC,Tennessee,"70,593,563","35,110,289","35,483,274",SEC,Tennessee,"16,031,952","10,253,609","5,778,343",American,Memphis
45,2021,Jalen,Neal,CB,Boise State,"$2,765,657",Boise State," $2,765,657.00 ",2021-06-25T19:03:00.000Z,,0,Immediate,"16,827,686","7,226,105","9,601,581",MW,Boise State,"16,827,686","7,226,105","9,601,581",MW,Boise State,"16,827,686","7,226,105","9,601,581",MW,Boise State
46,2021,Kevric,Wiggins,CB,Louisiana Monroe,,Jackson State, none ,2021-06-25T16:19:00.000Z,,3,Immediate,,,,,,,,,,,,,,,
47,2021,Demetri,Jordan,IOL,SMU,,none, none ,2021-06-25T16:07:00.000Z,,3,Immediate,,,,,,,,,,,,,,,
48,2021,Jeff,Miller,IOL,Georgia State,"$781,177",none, none ,2021-06-24T16:02:00.000Z,,3,Immediate,"4,753,087","606,809","4,146,278",Sun Belt,Georgia State,"4,753,087","606,809","4,146,278",Sun Belt,Georgia State,,,,,
49,2021,Brylan,Lanier,CB,Georgia State,"$781,177",Alabama,"$15,995,406 ",2021-06-23T17:26:00.000Z,,3,Immediate,"4,753,087","606,809","4,146,278",Sun Belt,Georgia State,"4,753,087","606,809","4,146,278",Sun Belt,Georgia State,"97,324,316","44,211,016","53,113,300",SEC,Alabama
50,2021,David,Anderton,OT,South Florida,"$2,235,939",none, none ,2021-06-23T16:12:00.000Z,,3,Immediate,"13,604,611","6,485,854","7,118,757",American,South Florida,"13,604,611","6,485,854","7,118,757",American,South Florida,,,,,
51,2021,Malachi,Wideman,WR,Tennessee,"$11,602,164",Jackson State, none ,2021-06-23T13:15:00.000Z,,4,TBD,"70,593,563","35,110,289","35,483,274",SEC,Tennessee,"70,593,563","35,110,289","35,483,274",SEC,Tennessee,,,,,
52,2021,Ahmad,Johnson,LB,Louisiana,,none, none ,2021-06-23T11:39:00.000Z,,3,Immediate,,,,,,,,,,,,,,,
53,2021,Armonie,Brown,DL,UTEP,,none, none ,2021-06-23T09:56:00.000Z,,3,Immediate,,,,,,,,,,,,,,,
54,2021,Jack,Luckhurst,K,Arizona State,"$5,689,877",none, none ,2021-06-23T09:53:00.000Z,,0,Immediate,"34,620,152","14,144,182","20,475,970",Big 12,Arizona State,"34,620,152","14,144,182","20,475,970",Big 12,Arizona State,,,,,
55,2021,Brayden,Fox,WR,Rutgers,"$3,624,816",Toledo," $928,243.00 ",2021-06-22T16:10:00.000Z,,3,Immediate,"22,055,252","13,049,333","9,005,919",Big Ten,Rutgers,"22,055,252","13,049,333","9,005,919",Big Ten,Rutgers,"5,647,912","1,933,429","3,714,483",MAC,Toledo
56,2021,Blake,Kirshner,QB,UCLA,"$5,919,423",none, none ,2021-06-22T13:44:00.000Z,,2,Immediate,"36,016,831","17,494,361","18,522,470",Big Ten,UCLA,"36,016,831","17,494,361","18,522,470",Big Ten,UCLA,,,,,
57,2021,Wilson,Frederic,DL,UMass,,none, none ,2021-06-21T09:00:00.000Z,,2,Immediate,,,,,,,,,,,,,,,
58,2021,Denzel,Blackwell,CB,Boston College,,none, none ,2021-06-21T08:58:00.000Z,,3,Immediate,,,,,,,,,,,,,,,
59,2021,Keyon,Mozee,RB,Kansas State,"$7,121,436",Miami (OH), none ,2021-06-17T16:51:00.000Z,,3,Immediate,"43,330,498","15,221,310","28,109,188",Big 12,Kansas State,"43,330,498","15,221,310","28,109,188",Big 12,Kansas State,,,,,
60,2021,Luke,McAllister,QB,Colorado State,"$2,586,300",none, none ,2021-06-17T13:05:00.000Z,,3,Immediate,"15,736,383","4,742,234","10,994,149",MW,Colorado State,"15,736,383","4,742,234","10,994,149",MW,Colorado State,,,,,
61,2021,Malik,Barrow,DL,Rutgers,"$3,624,816",Rutgers,"$3,624,816 ",2021-06-17T09:12:00.000Z,,4,Immediate,"22,055,252","13,049,333","9,005,919",Big Ten,Rutgers,"22,055,252","13,049,333","9,005,919",Big Ten,Rutgers,"22,055,252","13,049,333","9,005,919",Big Ten,Rutgers
62,2021,Louis,Taylor,S,Liberty,,none, none ,2021-06-16T14:05:00.000Z,,2,Immediate,,,,CUSA,Liberty,,,,CUSA,Liberty,,,,,
63,2021,Ryan,Kelley,QB,Arizona State,"$5,689,877",Eastern Washington, none ,2021-06-16T13:13:00.000Z,,3,Immediate,"34,620,152","14,144,182","20,475,970",Big 12,Arizona State,"34,620,152","14,144,182","20,475,970",Big 12,Arizona State,,,,,
64,2021,CJ,Parks,WR,Eastern Michigan,,none, none ,2021-06-16T00:00:00.000Z,,3,Immediate,"3,952,951","771,271","3,181,680",MAC,Eastern Michigan,"3,952,951","771,271","3,181,680",MAC,Eastern Michigan,,,,,
65,2021,Mike,York,TE,UAB,,none, none ,2021-06-16T00:00:00.000Z,,1,Immediate,,,,,,,,,,,,,,,
