Player Id,Player College GSIS,Name,Unnamed: 7,Conf,Team,#,POS,S,DEF,DEF%,RUND,PRSH,COV,DEF GRD,RUND GRD,PRSH GRD,COV.1,KEY,PEN,BP,TKL,AST,MT,STOP
183258,429964,Isaiah Crosby,california-golden-bears,ACC,CAL,D23,S,2024,84,0.0001,42,1,41,48.8,42.1,67.7,51.3,9,0-0,0,3,1,5,1
183264,429996,Ja'ir Smith,california-golden-bears,ACC,CAL,D06,CB,2024,171,0.0003,78,7,86,50.7,53.5,70.7,47.8,22,0-0,0,5,1,5,5
173722,418192,Jasiah Wagoner,california-golden-bears,ACC,CAL,D08,S,2024,32,0.0,16,2,14,61.2,65.0,70.4,54.7,4,1-0,0,1,0,0,1
188171,431641,Khamani Hudson,california-golden-bears,ACC,CAL,D25,CB,2024,20,0.0,13,0,7,57.9,62.8,,55.5,1,0-0,0,0,0,0,0
155386,372029,Liam Johnson,california-golden-bears,ACC,CAL,D15,LB,2024,175,0.0003,88,15,72,67.6,52.2,69.6,77.1,47,0-0,1,16,3,3,11
146296,366899,Lu-Magia Hearns III,california-golden-bears,ACC,CAL,D21,CB,2024,200,0.0003,77,9,114,52.1,49.4,53.5,53.5,26,2-0,0,7,3,3,0
97230,353565,Marcus Harris,california-golden-bears,ACC,CAL,D05,CB,2024,802,0.0012,311,1,490,74.2,76.7,60.0,73.9,75,3-0,0,51,2,4,17
174148,407841,Matthew Littlejohn,california-golden-bears,ACC,CAL,D22,S,2024,221,0.0003,73,20,128,65.5,65.0,55.0,68.0,31,1-0,0,11,5,3,4
71443,364238,Mavin Anderson,california-golden-bears,ACC,CAL,11,WR,2024,1,0.0,0,1,0,60.0,,60.0,,0,0-0,0,0,0,0,0
174168,406493,Mikey Matthews,california-golden-bears,ACC,CAL,08,WR,2024,1,0.0,0,0,1,62.4,,,60.0,0,0-0,0,0,0,0,0
100382,351956,Miles Williams,california-golden-bears,ACC,CAL,D04,S,2024,791,0.0012,312,8,471,62.6,70.5,52.5,58.6,62,1-0,0,46,9,12,16
146308,391483,Myles Williams,california-golden-bears,ACC,CAL,D92,ED,2024,51,0.0001,23,25,3,66.3,65.7,62.4,60.9,7,0-0,0,1,1,0,1
158314,387626,Nate Burrell,california-golden-bears,ACC,CAL,D98,DI,2024,384,0.0006,181,202,1,65.3,67.9,63.2,58.9,88,2-0,1,12,9,2,12
128375,350805,Nohl Williams,california-golden-bears,ACC,CAL,D03,CB,2024,877,0.0013,341,1,535,79.3,78.7,60.0,77.5,79,3-1,0,41,12,4,9
131644,368208,Ricky Correia,california-golden-bears,ACC,CAL,D91,DI,2024,271,0.0004,117,152,2,76.6,79.3,67.2,56.8,57,0-0,3,16,2,1,14
176559,407844,Ryan McCulloch,california-golden-bears,ACC,CAL,D43,ED,2024,401,0.0006,168,195,38,73.5,67.8,77.4,58.3,90,1-0,0,7,5,8,8
172501,407556,Ryan Yaites,california-golden-bears,ACC,CAL,D09,S,2024,223,0.0003,88,4,131,56.6,72.5,66.0,49.7,20,0-0,0,13,3,1,4
175914,430000,Serigne Tounkara,california-golden-bears,ACC,CAL,D18,ED,2024,84,0.0001,9,71,4,67.6,58.9,70.0,62.6,21,1-0,0,2,0,2,3
131656,364244,Stanley Saole-McKenzie,california-golden-bears,ACC,CAL,D94,DI,2024,225,0.0003,97,128,0,60.5,61.3,60.1,57.1,45,0-0,1,12,3,2,8
145165,360992,T.J. Bollers,california-golden-bears,ACC,CAL,D88,DI,2024,330,0.0005,124,205,1,62.3,63.7,58.1,64.4,65,1-0,2,15,6,3,13
142172,353749,Teddye Buchanan,california-golden-bears,ACC,CAL,D10,LB,2024,871,0.0013,337,98,436,77.4,71.8,74.0,76.2,170,0-0,3,76,27,10,49
131849,351702,Xavier Carlton,california-golden-bears,ACC,CAL,D44,ED,2024,650,0.001,263,368,19,69.9,71.6,65.8,69.3,142,3-0,1,17,17,6,16
170011,412127,A.J. Hoffler,clemson-tigers,ACC,CLEMSON,D99,ED,2024,256,0.0004,117,133,6,56.5,54.0,60.2,61.6,49,1-0,0,6,4,3,5
189366,447549,Aidan Hydrick,clemson-tigers,ACC,CLEMSON,D58,DI,2024,1,0.0,0,1,0,60.0,,59.8,,0,0-0,0,0,0,0,0
144124,388504,Armon Mason,clemson-tigers,ACC,CLEMSON,D34,ED,2024,104,0.0002,46,54,4,69.1,65.2,67.7,62.1,27,0-0,0,6,1,0,6
189365,428324,Ashton Hampton,clemson-tigers,ACC,CLEMSON,D23,CB,2024,461,0.0007,182,3,276,75.1,56.6,47.3,78.5,44,2-0,0,26,4,7,8
122352,379138,Austin Randall,clemson-tigers,ACC,CLEMSON,D35,CB,2024,28,0.0,18,0,10,63.1,58.5,,64.2,5,0-0,0,2,0,0,1
170031,407373,Avieon Terrell,clemson-tigers,ACC,CLEMSON,D20,CB,2024,833,0.0012,338,5,490,82.3,90.7,68.9,77.7,97,7-0,0,51,5,10,20
144109,361771,Barrett Carter,clemson-tigers,ACC,CLEMSON,D00,LB,2024,839,0.0012,341,80,418,68.5,82.7,70.1,47.8,174,2-0,5,69,14,9,47
170028,412114,Branden Strozier,clemson-tigers,ACC,CLEMSON,D01,CB,2024,73,0.0001,32,0,41,33.5,38.3,,34.9,13,0-0,0,4,0,4,0
189367,431630,C.J. Kubah-Taylor,clemson-tigers,ACC,CLEMSON,D26,LB,2024,7,0.0,7,0,0,70.9,69.4,,,4,0-0,0,1,0,0,1
144114,384493,Cade Denhoff,clemson-tigers,ACC,CLEMSON,D44,ED,2024,385,0.0006,160,215,10,54.5,56.8,55.8,48.9,63,1-0,0,5,6,3,5
156229,391378,Caden Story,clemson-tigers,ACC,CLEMSON,D93,DI,2024,55,0.0001,20,35,0,54.1,53.9,56.1,,12,0-0,0,2,1,1,1
183203,431635,Champ Thompson,clemson-tigers,ACC,CLEMSON,D56,DI,2024,41,0.0001,23,18,0,64.1,67.9,54.3,,10,0-0,0,2,1,0,2
183198,428316,Corian Gipson,clemson-tigers,ACC,CLEMSON,D12,CB,2024,14,0.0,6,0,8,56.2,60.8,,55.3,1,0-0,0,0,0,0,0
189368,431631,Darien Mayo,clemson-tigers,ACC,CLEMSON,D49,ED,2024,35,0.0001,22,13,0,63.9,61.0,65.0,,12,0-0,0,2,1,1,2
