Player Id,Player College GSIS,Name,Unnamed: 7,Conf,Team,#,POS,S,ST,KRET,KCOV,PRET,PCOV,FGBLK,FGXP,ST GRD,KOFF GRD,PUNT GRD,FGXP.1,KEY,PEN,TKL,AST,MT
183264,429996,Ja'ir Smith,california-golden-bears,ACC,CAL,D06,CB,2024,103,54,3,22,15,9,0,69.9,,,,7,0-0,3,0,1
158317,407836,Jack Endries,california-golden-bears,ACC,CAL,87,TE,2024,9,2,1,0,0,0,0,60.3,52.4,,,2,0-0,0,0,0
158326,407856,Jaiven Plummer,california-golden-bears,ACC,CAL,84,WR,2024,4,0,0,4,0,0,0,61.9,,,,0,0-0,0,0,0
176564,407866,Jaivian Thomas,california-golden-bears,ACC,CAL,25,HB,2024,8,0,6,0,0,0,0,62.0,,,,0,0-0,0,0,0
146311,366911,Jake Arguello,california-golden-bears,ACC,CAL,S47,LS,2024,10,0,0,0,6,0,4,61.1,,,,4,0-0,1,0,1
188184,434167,Jamaal Wiley,california-golden-bears,ACC,CAL,28,HB,2024,9,0,9,0,0,0,0,62.6,,,,0,0-0,0,0,0
173722,418192,Jasiah Wagoner,california-golden-bears,ACC,CAL,D08,S,2024,19,0,6,4,5,4,0,50.8,,60.0,,1,1-0,0,0,0
158325,387671,Jaydn Ott,california-golden-bears,ACC,CAL,01,HB,2024,12,8,0,0,0,0,0,59.7,53.2,,,2,0-0,0,0,0
146300,364243,Jeffrey Johnson,california-golden-bears,ACC,CAL,86,TE,2024,73,22,51,0,0,0,0,63.0,,,,3,0-0,0,0,1
156940,385537,Jonathan Brady,california-golden-bears,ACC,CAL,06,WR,2024,11,0,3,6,0,0,0,63.4,,60.0,,1,0-0,0,0,0
158320,393478,Jordan King,california-golden-bears,ACC,CAL,80,WR,2024,19,13,1,5,0,0,0,62.2,58.0,,,1,0-0,0,0,0
172271,407504,Kadarius Calloway,california-golden-bears,ACC,CAL,02,HB,2024,35,5,20,10,0,0,0,72.0,71.4,,,3,0-0,0,1,0
188171,431641,Khamani Hudson,california-golden-bears,ACC,CAL,D25,CB,2024,17,0,0,10,5,2,0,49.0,,,,3,0-0,0,0,0
123268,348722,Lachlan Wilson,california-golden-bears,ACC,CAL,S37,P,2024,130,0,0,0,57,0,66,63.5,,65.0,,61,3-1,0,0,0
155386,372029,Liam Johnson,california-golden-bears,ACC,CAL,D15,LB,2024,134,5,54,24,36,12,0,58.3,,,,13,0-0,3,1,4
146296,366899,Lu-Magia Hearns III,california-golden-bears,ACC,CAL,D21,CB,2024,183,57,50,28,33,12,0,65.0,,,,7,0-0,1,1,1
