Unnamed: 0,season,first_name,last_name,position,origin,origin21%,origin22%,origin23%,originNIL,destination,destination21%,destination22%,destination23%,destinationNIL,transfer_date,rating,stars,eligibility
67,2021.0,Antonio,Greer,DL,Navy,33.0,33.0,42.0,No Data,none,,,,none,2021-06-15T00:00:00.000Z,,0.0,Immediate
68,2021.0,Cameron,Threatt,CB,Mississippi State,54.0,69.0,42.0,6467166,none,,,,none,2021-06-15T00:00:00.000Z,,3.0,Immediate
69,2021.0,Derrion,Clark,LB,Arizona,8.0,42.0,77.0,6414683,none,,,,none,2021-06-15T00:00:00.000Z,,3.0,Immediate
70,2021.0,Trevor,Willard,EDGE,Appalachian State,71.0,50.0,64.0,1925394,Winston-Salem State,,,,No Data,2021-06-14T00:00:00.000Z,,3.0,Immediate
71,2021.0,Ross,Bowers,QB,Northern Illinois,,,,506195,none,,,,none,2021-06-11T00:00:00.000Z,,3.0,Immediate
72,2021.0,Lorenzo,Burkes,RB,San Jose State,42.0,57.99999999999999,54.0,1001536,none,,,,none,2021-06-11T00:00:00.000Z,,2.0,Immediate
73,2021.0,David,Alston,LB,Nebraska,25.0,33.0,42.0,7973918,none,,,,none,2021-06-11T00:00:00.000Z,,3.0,Immediate
74,2021.0,Robert,Cooper,DL,Boise State,57.99999999999999,71.0,56.99999999999999,2765657,Eastern Washington,,,,No Data,2021-06-10T00:00:00.000Z,,3.0,Immediate
75,2021.0,Tairiq,Stewart,IOL,West Virginia,46.0,42.0,69.0,5495362,none,,,,none,2021-06-10T00:00:00.000Z,,3.0,Immediate
76,2021.0,Caleb,Roberson,CB,Wyoming,54.0,54.0,69.0,2426393,none,,,,none,2021-06-10T00:00:00.000Z,,3.0,Immediate
77,2021.0,Freddie,Hartz,DL,Southern Mississippi,25.0,54.0,25.0,1500334,none,,,,none,2021-06-10T00:00:00.000Z,,3.0,Immediate
78,2021.0,Max,Saylor,DL,Central Michigan,69.0,33.0,42.0,1471894,none,,,,none,2021-06-09T00:00:00.000Z,,2.0,Immediate
79,2021.0,Jay,Brunelle,WR,Notre Dame,85.0,69.0,77.0,10946275,none,,,,none,2021-06-09T00:00:00.000Z,,3.0,Immediate
80,2021.0,Chris,Mills,CB,Missouri,46.0,46.0,85.0,7146859,Texas State,33.0,33.0,62.0,599058,2021-06-09T00:00:00.000Z,,3.0,Immediate
81,2021.0,Desean,Boyd,LB,Eastern Michigan,54.0,69.0,46.0,1471894,none,,,,none,2021-06-09T00:00:00.000Z,,2.0,Immediate
82,2021.0,Jamire,Calvin,WR,Washington State,54.0,54.0,42.0,3216991,Mississippi State,54.0,69.0,42.0,6467166,2021-06-08T00:10:00.000Z,,4.0,Immediate
83,2021.0,Jamel,Starks,CB,Louisville,46.0,62.0,71.0,9443439,none,,,,none,2021-06-07T00:00:00.000Z,,3.0,Immediate
84,2021.0,Brian,Thomas,OT,Memphis,50.0,54.0,77.0,2634877,none,,,,none,2021-06-07T00:00:00.000Z,,3.0,Immediate
85,2021.0,Davion,Tyson,LB,Ball State,46.0,42.0,33.0,341183,none,,,,none,2021-06-07T00:00:00.000Z,,2.0,Immediate
86,2021.0,Sam,Noyer,QB,Colorado,33.0,8.0,33.0,5337719,Oregon State,54.0,77.0,62.0,3163423,2021-06-07T00:00:00.000Z,,3.0,Immediate
87,2021.0,Kyle,Edwards,RB,Alabama,87.0,85.0,86.0,15995406,none,,,,none,2021-06-05T00:00:00.000Z,,3.0,Immediate
88,2021.0,Jalen,Knox,WR,Missouri,46.0,46.0,85.0,7146859,none,,,,none,2021-06-04T00:00:00.000Z,,3.0,Immediate
89,2021.0,Chace,Davis,DL,Nevada,62.0,17.0,17.0,2000558,none,,,,none,2021-06-03T00:00:00.000Z,,3.0,Immediate
90,2021.0,Lovie,Jenkins,S,Louisville,46.0,62.0,71.0,9443439,none,,,,none,2021-06-03T00:00:00.000Z,,3.0,Immediate
91,2021.0,Tate,Haynes,CB,Boston College,50.0,25.0,54.0,10946275,none,,,,none,2021-06-03T00:00:00.000Z,,3.0,Immediate
92,2021.0,Ronnie,Blackmon,WR,Toledo,54.0,64.0,79.0,928243,none,,,,none,2021-06-02T00:00:00.000Z,,3.0,Immediate
93,2021.0,Rodney,Thompson,QB,Northern Illinois,,,,506195,none,,,,none,2021-06-02T00:00:00.000Z,,2.0,Immediate
94,2021.0,Cornell,Wheeler,LB,Michigan,86.0,93.0,100.0,16357054,Kansas,17.0,46.0,69.0,7427957,2021-06-02T00:00:00.000Z,,3.0,Immediate
95,2021.0,Will,Koch,QB,UMass,,,,No Data,none,,,,none,2021-06-02T00:00:00.000Z,,3.0,Immediate
96,2021.0,Mark,Williams,CB,Eastern Illinois,,,,No Data,Louisiana Monroe,,33.0,17.0,0,2021-06-01T00:00:00.000Z,,2.0,Immediate
97,2021.0,Karch,Gardiner,WR,Arkansas,69.0,54.0,33.0,11544039,none,,,,none,2021-06-01T00:00:00.000Z,,2.0,Immediate
